num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2,0.6807,1.0,0.3193,0.0,0.0,0.0,0.3193
7,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2,0.7291,1.0,0.2709,0.0,0.0,0.0,0.2709
9,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2,0.7575,1.0,0.2425,0.0,0.0,0.0,0.2425
11,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2,0.7765,1.0,0.2235,0.0,0.0,0.0,0.2235
13,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2,0.7976,1.0,0.2024,0.0,0.0,0.0,0.2024
15,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2,0.8024,1.0,0.1976,0.0,0.0,0.0,0.1976
17,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,2,0.8145,1.0,0.1855,0.0,0.0,0.0,0.1855
19,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2,0.8287,1.0,0.1713,0.0,0.0,0.0,0.1713
21,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2,0.8308,1.0,0.1692,0.0,0.0,0.0,0.1692
23,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2,0.8433,1.0,0.1567,0.0,0.0,0.0,0.1567
25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,2,0.8464,1.0,0.1536,0.0,0.0,0.0,0.1536
27,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28,2,0.852,1.0,0.148,0.0,0.0,0.0,0.148
29,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2,0.8591,1.0,0.1409,0.0,0.0,0.0,0.1409
31,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,2,0.8606,1.0,0.1394,0.0,0.0,0.0,0.1394
33,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2,0.8623,1.0,0.1377,0.0,0.0,0.0,0.1377
